id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
2482,6H,825,ISRAIR AIRLINES,2026-07-09T17:00:00,2026-07-09T17:00:00,D,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,1,,,ON TIME,בזמן
2483,AM,7856,AERO MEXICO,2026-07-09T17:10:00,2026-07-09T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
2484,DL,7431,DELTA AIRLINES,2026-07-09T17:10:00,2026-07-09T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
2485,LY,008,EL AL ISRAEL AIRLINES,2026-07-09T17:10:00,2026-07-09T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
2486,6H,584,ISRAIR AIRLINES,2026-07-09T17:10:00,2026-07-09T17:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
2487,AM,7866,AERO MEXICO,2026-07-09T17:15:00,2026-07-09T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
2488,AR,7855,AEROLINEAS ARGENTINAS S.A.,2026-07-09T17:15:00,2026-07-09T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
2489,IB,7716,IBERIA,2026-07-09T17:15:00,2026-07-09T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
2490,LY,397,EL AL ISRAEL AIRLINES,2026-07-09T17:15:00,2026-07-09T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
2491,LY,5412,EL AL ISRAEL AIRLINES,2026-07-09T17:15:00,2026-07-09T17:15:00,A,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3,,,NOT FINAL,לא סופי
2492,LY,545,EL AL ISRAEL AIRLINES,2026-07-09T17:15:00,2026-07-09T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
