id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
607,IZ,053,ARKIA  ISRAELI  AIRLINES,2026-07-12T16:00:00,2026-07-12T17:48:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3.0,G1-G18,G,DEPARTED,המריאה,108.0,0.075
608,LO,156,LOT POLISH AIRLINES,2026-07-12T16:50:00,2026-07-12T17:50:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3.0,34-38,B,DEPARTED,המריאה,60.0,0.042
609,LY,5052,EL AL ISRAEL AIRLINES,2026-07-12T17:55:00,2026-07-12T17:51:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3.0,,,LANDED,נחתה,-4.0,-0.003
610,6H,597,ISRAIR AIRLINES,2026-07-12T17:00:00,2026-07-12T17:52:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,201-210,G,DEPARTED,המריאה,52.0,0.036
611,IZ,411,ARKIA  ISRAELI  AIRLINES,2026-07-12T15:10:00,2026-07-12T17:54:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,1.0,332-337,B,DEPARTED,המריאה,164.0,0.114
612,LY,348,EL AL ISRAEL AIRLINES,2026-07-12T17:25:00,2026-07-12T17:55:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,LANDED,נחתה,30.0,0.021
613,SK,3188,SAS,2026-07-12T17:25:00,2026-07-12T17:55:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,LANDED,נחתה,30.0,0.021
614,LY,286,EL AL ISRAEL AIRLINES,2026-07-12T17:20:00,2026-07-12T17:56:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,LANDED,נחתה,36.0,0.025
615,SK,3172,SAS,2026-07-12T17:20:00,2026-07-12T17:56:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,LANDED,נחתה,36.0,0.025
616,U8,158,TUS AIRWAYS,2026-07-12T15:40:00,2026-07-12T17:56:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,39-55,B,DEPARTED,המריאה,136.0,0.094
617,6H,725,ISRAIR AIRLINES,2026-07-12T16:00:00,2026-07-12T17:59:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1.0,305-313,A,DEPARTED,המריאה,119.0,0.083
618,IZ,369,ARKIA  ISRAELI  AIRLINES,2026-07-12T17:30:00,2026-07-12T18:00:00,D,TGD,PODGORICA,פודגוריצה,PODGORICA,מונטנגרו,MONTENEGRO,3.0,G1-G18,G,DEPARTED,המריאה,30.0,0.021
619,AM,7856,AERO MEXICO,2026-07-12T16:55:00,2026-07-12T18:01:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,LANDED,נחתה,66.0,0.046
620,DL,7431,DELTA AIRLINES,2026-07-12T16:55:00,2026-07-12T18:01:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,LANDED,נחתה,66.0,0.046
621,LY,008,EL AL ISRAEL AIRLINES,2026-07-12T16:55:00,2026-07-12T18:01:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,LANDED,נחתה,66.0,0.046
622,LY,545,EL AL ISRAEL AIRLINES,2026-07-12T17:15:00,2026-07-12T18:02:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,78-99,D,DEPARTED,המריאה,47.0,0.033
623,U8,156,TUS AIRWAYS,2026-07-12T13:45:00,2026-07-12T18:05:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,34-55,B,DEPARTED,המריאה,260.0,0.181
624,EK,2450,EMIRATES,2026-07-12T18:15:00,2026-07-12T18:06:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-9.0,-0.006
625,FZ,1625,FLYDUBAI,2026-07-12T18:15:00,2026-07-12T18:06:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-9.0,-0.006
626,IZ,093,ARKIA  ISRAELI  AIRLINES,2026-07-12T15:50:00,2026-07-12T18:07:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1.0,332-337,B,DEPARTED,המריאה,137.0,0.095
627,IZ,152,ARKIA  ISRAELI  AIRLINES,2026-07-12T17:40:00,2026-07-12T18:07:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,27.0,0.019
628,EK,2471,EMIRATES,2026-07-12T17:50:00,2026-07-12T18:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,56-59,C,DEPARTED,המריאה,20.0,0.014
629,FZ,1126,FLYDUBAI,2026-07-12T17:50:00,2026-07-12T18:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,56-59,C,DEPARTED,המריאה,20.0,0.014
630,IB,7710,IBERIA,2026-07-12T17:45:00,2026-07-12T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,DEPARTED,המריאה,25.0,0.017
631,LY,391,EL AL ISRAEL AIRLINES,2026-07-12T17:45:00,2026-07-12T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,DEPARTED,המריאה,25.0,0.017
632,6H,045,ISRAIR AIRLINES,2026-07-12T17:30:00,2026-07-12T18:11:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,355-360,C,DEPARTED,המריאה,41.0,0.028
633,6H,174,ISRAIR AIRLINES,2026-07-12T18:10:00,2026-07-12T18:11:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3.0,,,LANDED,נחתה,1.0,0.001
634,A3,527,AEGEAN  AIRLINES,2026-07-12T17:40:00,2026-07-12T18:13:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,223-226,G,DEPARTED,המריאה,33.0,0.023
635,6H,825,ISRAIR AIRLINES,2026-07-12T17:00:00,2026-07-12T18:16:00,D,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,1.0,305-313,A,DEPARTED,המריאה,76.0,0.053
